Rating,Game,Platform,First Playthrough,Emulator
,,,,
10,Hyper Light Drifter,PC,
10,Quake,PC,
10,The Elder Scrolls IV: Oblivion,PC,
9,Bloodborne,PS4,16h54m19s
9,Bloodstained: Curse of the Moon,PC,
9,BUTCHER,PC,
9,Cuphead,PC,8h49m8s
9,Dante's Inferno,PS3,6h52m35s
9,Dark Souls,PC,
9,Dark Souls II: SOTFS,PC,
9,Dark Souls III,PC,
9,Demon's Souls,PS3,14h11m
9,Dragon Age: Origins,PC,
9,Hollow Knight,PC,
9,Hotline Miami 2,PC,4h49m15s
9,Red Dead Redemption,X360,
9,Rune,PC,
9,Shadow of the Colossus,PS3,7h58m19s
9,Shovel Knight,PC,
9,The Legend of Zelda: The Wind Waker,GCN,25h11m58s
9,The Witcher 3,PC,54h
9,Völgarr The Viking,PC,
8,A Hat in Time,PC,5h44m29s
8,Ape Escape,PSX,6h9m9s
8,Axiom Verge,PC,9h31s
8,Baldur's Gate II: Shadows of Amn (EE),PC,34h36m31s
8,Baldur's Gate: Enhanced Edition,PC,22h3m37s
8,Bayonetta,PC,9h24m1s
8,Beyond Good & Evil,PC,8h38m36s
8,Call of Juarez,PC,6h27m33s
8,Castle Crashers,PC,3h28m1s
8,Castlevania,NES,
8,Castlevania II: Belmont's Revenge,GB/GBC,4h41s
8,Castlevania: Aria of Sorrow,GBA,6h36m37s
8,Celeste,PC,6h1m7s
8,Chip 'n Dale Rescue Rangers,NES,
8,Crash Team Racing,PSX,2h33m47s
8,Crysis,PC,
8,Daikatana,PC,10h49m36s
8,Dead or Alive 3,XBOX,
8,Dead Space 2,PC,6h32m17s
8,Dead Space 3,PC,7h38m12s
8,Death's Gambit,PC,8h54m49s
8,Devil May Cry 2,PS3,3h12m18s 
8,Dishonored,PC,
8,Divinity: Original Sin 2,PC,40h54m31s
8,Divinity: Original Sin,PC,47h27m
8,DOOM (2016),PC,6h1m42s
8,Doom II,PC,6h17m1s
8,Dragon Age II,PC,19h36m6s
8,DUSK,PC,5h31m48s
8,F.E.A.R,PC,4h41m2s
8,Fable 2,X360,
8,Fable 3,X360,
8,Furi,PC,5h50m3s
8,God of War,PS2,
8,God of War (2018),PS4,15h48s
8,God of War 2,PS2,10h2m
8,God of War 3,PS3,7h55m12s
8,God of War: Chains of Olympus,PSP,
8,God of War: Ghost of Sparta,PSP,4h55m9s
8,Grand Theft Auto IV,X360,
8,Grand Theft Auto V ,X360,
7,Half-Life: Opposing Force,PC,2h43m5s
8,Halo 2,XBOX,
8,Halo 3,X360,
8,Halo: Combat Evolved,XBOX,
8,Halo: Reach,X360,
8,Heretic,PC,
8,Hitman 2,PC,6h47m30s
8,Hotline Miami,PC,
8,INSIDE,PC,2h50m37s
8,Jotun,PC,
8,Katamari Damacy,PS2,4h42m58s
8,Kingdom Hearts,PS2,21h47m56s
8,Kingdom Hearts II,PS2,25h34m28s
8,L.A Noire,PC,16h59m31s
8,LEGO Star Wars 2: The Original Trilogy,NDS,
8,Limbo,PC,3h48m
8,Little Nightmares,PC,2h30m48s
8,Lovely Planet,PC,
8,Mages of Mystralia,PC,7h37m43s
8,Magicka,PC,
8,Maldita Castilla,PC,23m
8,Mario Kart DS,NDS,
8,Mass Effect,PC,19h6m
8,Max Payne,PC,4h10m9s
8,Max Payne 2: The Fall of Max Payne,PC,3h41m56s
8,Max Payne 3,PC,5h3m14s
8,MediEvil,PSX,
8,MediEvil 2,PSX,8h23m46s
8,Mega Man X,SNES,
8,Mega Man X2,SNES,9h6m40s
8,METAL GEAR RISING: REVENGEANCE,PC,8h51m13s
8,Metro 2033 (Redux),PC,6h6m52s
8,Metroid: Zero Mission,GBA,4h47m43s
8,Minit,PC,2h5m20s
8,Momodora: Reverie Under the Moonlight,PC,3h57m53s
8,Nier: Automata,PC,22h59m48s
8,Nioh,PC,28h27m15s
8,Odallus: The Dark Call,PC,5h2m35s
8,Outlast II,PC,5h5m33s
8,Portal 2: Coop,PC,
8,Quake 4,PC,4h47m1s
8,Rayman Legends,PC,
8,Resident Evil 4,PC,12h13m19s
8,Return to Castle Wolfenstein,PC,5h5m56s
8,Ruiner,PC,3h32m13s
8,Skeleton Boomerang,PC,4h46m19s
8,Slain: Back from Hell,PC,
8,Spyro 2: Ripto's Rage,PSX,7h59m43s
8,Spyro: Year of the Dragon,PSX,8h4m16s
8,STAR WARS Jedi Knight: Jedi Academy,PC,8h1m10s
8,Styx: Shards of Darkness,PC,9h43m50s
8,Sundered,PC,14h11m48s
8,Super Castlevania IV,SNES,4h17m32s
8,Super Mario 64,N64,5h49m21s
8,Super Mario Advance 2,GBA,19m25s
8,Super Mario World,SNES,
8,Super Metroid,SNES,5h49m
9,The Elder Scrolls III: Morrowind,PC,
8,The End Is Nigh,PC,10h18m1s
8,The Last of Us Remastered,PS4,10h25m9s
8,The Legend of Zelda: Ocarina of Time,N64,
8,The Legend of Zelda: Twillight Princess,GCN,22h50m
8,The Messenger,PC,9h10m34s
8,The Punisher,PC,6h52m46s
8,The Surge,PC,15h36m35s
8,The Witcher,PC,23h
8,The Witcher 2,PC,23h
8,The Witness,PC,20h16m13s
8,Thief Gold,PC,11h29m7s
8,Thief II: The Metal Age,PC,11h56m43s
8,Titan Souls,PC,2h
8,Turok: Dinosaur Hunter,PC,5h45m32s
8,Ultimate DOOM,PC,
8,Unworthy,PC,9h44m35s
8,Vanquish,PC,4h53m49s
8,Wolfenstein: The Old Blood,PC,4h13m16s
7,A Story About My Uncle,PC,1h41m52s
7,Amnesia: A Machine for Pigs,PC,3h9m36s
7,Aragami,PC,3h17m5s
7,Arvoesine,PC,
7,Assassin's Creed 2,X360,
7,Assassin's Creed Brotherhood,X360,
7,Banjo-Kazooie,N64,12h14m40s
7,Bionic Commando,PC,3h45m23s
7,Bioshock,PC,5h54m
7,"Bioshock 2 ""Remastered""",PC,5h27m55s
7,Bioshock: Infinite,PC,5h15m26s
7,Bully: Scholarship Edition,PC,12h43m6s
7,Call of Cthulhu: Dark Corners of the Earth,PC,12h49m10s
7,Capsized,PC,2h46m22s
7,Castlevania: Circle of the Moon,GBA,7h24m38s
7,Castlevania: Dracula X,SNES,
7,Castlevania: Harmony of Dissonance,GBA,8h17m13s
7,Castlevania: Lords of Shadow + DLC,PC,18h6m
7,Castlevania: Lords of Shadow 2,PC,10h16m52s
7,Castlevania: Symphony of the Night,PSX,4h32m47s
7,Cloudbuilt,PC,1h1m56s
7,Crash Bandicoot,PSX,
7,Crash Bandicoot: Warped,PSX,3h4m5s
7,Crash Twinsanity,PS2,4h47m31s
7,Croc 2,PSX,7h19m46s
7,Dark Messiah of Might and Magic,PC,5h21m32s
7,Darksiders,PC,15h48m
7,Darksiders II,PC,11h30m13s
7,Dead Cells,PC,
7,Dead Space,PC,7h50m42s
7,Demon's Crest ,SNES,1h41m32s
7,Devil May Cry (HD),PS3,4h26m32s
7,Diddy Kong Racing,N64,6h7m19s
7,Divinity II (+ DLC),PC,20h33m25s
7,DMC: Devil May Cry (2013),PC,5h51m15s
7,Donald Duck: Quack Attack,N64,
7,DOOM 3,PC,7h10m41s
7,Dragon Age: Inquisition,PC,29h14m39s
7,Dragon's Dogma: Dark Arisen,PC,41h
7,Earth Defense Force: Insect Armageddon,PC,4h35m29s
7,F.E.A.R 3,PC,
7,Fallout 3,PC,
7,Fallout: New Vegas,PC,28h20m47s
7,Far Cry 2,PC,13h10m28s
7,Far Cry 3: Blood Dragon,PC,2h40m7s
7,Felix the Cat,NES,1h14m1s
7,Firewatch,PC,3h20m22s
7,Glover,N64,5h47s27s
7,Grand Theft Auto: Vice City,PC,13h37m22s
7,Grim Dawn,PC,14h38m3s
7,Grow Home,PC,2h
7,Gunpoint,PC,4h42m
7,Half-Life,PC,
7,Half-Life 2,PC,8h36m
7,Half-Life 2: Episode Two,PC,2h54m21s
7,Half-Life: Blue Shift,PC,
7,Hammerwatch,PC,
7,High Hell,PC,44m15s
7,Hitman: Blood Money,PC,11h
7,Hob,PC,6h43m5s
7,Human: Fall Flat,PC,4h16m25s
7,Jet Set Radio,PC,5h2m23s
7,Judge Dredd: Dredd vs Death,PC,2h35m47s
7,Just Cause 3,PC,10h57m48s
7,Killer is Dead,PC,5h59m22s
7,Kirby's Dream Land,GB/GBC,33m3s
7,klocki,PC,1h25m
7,Legend of Kay Anniversary,PC,10h12m
7,LEGO Star Wars: The Original Trilogy,PSP,
7,Loom,DOS,2h23m27s
7,Lords of the Fallen,PC,7h40m46s
7,Lucius,PC,6h2m45s
7,Luigi's Mansion,GCN,6h18m38s
